tic,ra,dec,n_sectors,min_sector,max_sector,observed_sectors,sectors_since_94,observed_since_94,resolver
296012680,304.2060678,50.3836574,10,14,83,"14,15,16,41,55,75,76,81,82,83",,False,local
297032911,312.1280903,46.76205246,8,15,83,"15,16,55,56,75,76,82,83",,False,local
298309266,346.1504768,52.44368557,5,16,84,"16,17,57,77,84",,False,local
298421458,312.026084,27.45710232,4,14,55,"14,15,41,55",,False,local
298544913,267.4652618,23.46868538,4,26,80,"26,52,53,80",,False,local
298756723,267.9586866,20.86258294,4,26,80,"26,53,79,80",,False,local
298757219,267.9756703,20.37419666,4,26,80,"26,53,79,80",,False,local
299160301,289.1854054,50.64661598,12,14,82,"14,26,41,53,54,55,56,74,75,80,81,82",,False,local
299494754,328.2997846,71.98968592,14,17,86,"17,18,24,25,52,57,58,59,77,78,79,84,85,86",,False,local
299778628,36.63590796,-80.03805617,9,1,95,"1,13,28,39,66,68,93,94,95","94,95",True,local
299779868,37.31672874,-78.46415308,10,1,95,"1,13,27,28,66,67,68,93,94,95","94,95",True,local
299780329,37.53005009,-79.75650465,9,1,95,"1,13,28,39,66,68,93,94,95","94,95",True,local
300000680,289.7076679,16.25012424,5,14,81,"14,40,54,80,81",,False,local
300019694,297.1029498,-37.09601922,4,13,94,"13,27,67,94",94,True,local
300034498,107.5256829,-69.53784917,41,1,96,"1,2,3,4,5,6,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,87,88,89,90,93,94,96","94,96",True,local
300086757,108.1553121,-70.15738109,39,1,96,"1,2,3,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,35,36,37,38,39,61,62,63,65,66,67,69,87,88,89,90,93,94,95,96","94,95,96",True,local
300291839,110.3717855,-70.72153374,40,1,96,"1,2,3,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,35,36,37,38,39,61,62,63,64,65,66,67,69,87,88,89,90,93,94,95,96","94,95,96",True,local
300405121,298.600828,-41.86295364,3,13,94,"13,27,94",94,True,local
300446210,111.5908061,-66.2907368,40,1,96,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,34,35,36,37,38,39,61,62,64,65,66,67,68,69,87,88,89,90,93,95,96","95,96",True,local
300559128,112.8363972,-69.83397848,42,1,96,"1,2,3,4,5,6,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,87,88,89,90,93,94,95,96","94,95,96",True,local
