astro_id,tic,n_pts,P0,P_bls,t0_bls,snr_P0,snr_bls,dpri,dsec,oe_z,half_period_sig,stale_ratio,weak,catalog_unrelated,single_sector,risk_score,flag,note
3786,466914134,45150,2.481143,2.483012,1573.59739,3.9,6.9,11.3,8.4,1.6,False,1.76,False,False,True,0.6,stale,
3787,466920848,34181,1.100587,1.100482,1571.35476,4.0,10.1,11.7,11.7,0.1,False,2.55,False,False,True,0.6,stale,
3788,466943891,23347,2.842254,2.842448,1573.59782,4.6,5.1,11.8,8.5,2.1,False,1.09,False,False,True,0.25,ok,
3776,466456655,52067,2.461698,2.461925,1573.5328,2.9,9.4,8.8,14.8,5.1,True,3.3,False,False,True,1.05,half_period,
3777,466458872,46320,0.803365,0.811129,1571.67912,1.8,2.8,3.0,2.0,0.7,False,1.59,True,False,True,0.9,stale,
3778,466500235,49167,2.699198,2.700332,1573.58714,2.2,6.3,10.4,9.5,0.3,False,2.82,False,False,True,0.6,stale,
3779,466500542,49165,0.815051,0.814646,1571.85364,3.0,5.3,12.6,13.8,1.1,False,1.81,False,False,True,0.6,stale,
3789,466944145,23350,2.347169,2.344683,1572.07994,2.2,8.0,12.4,11.3,0.4,False,3.58,False,False,True,0.6,stale,
3790,467019224,45157,0.687393,0.687416,1571.80089,23.3,31.3,63.6,69.2,3.4,False,1.35,False,False,True,0.45,ok,
3791,467026608,41768,2.961698,2.961453,1573.80959,12.7,28.0,43.1,37.1,4.1,False,2.21,False,False,True,0.6,stale,
3793,467088799,41713,0.459615,0.459627,1571.60895,5.4,6.2,14.3,9.1,3.7,False,1.14,False,False,True,0.25,ok,
3780,466509525,52076,1.272115,1.272444,1571.41013,1.6,25.0,34.8,35.7,0.1,False,15.88,False,False,True,0.6,stale,
3781,466524535,41301,1.915865,1.915693,1571.48219,119.7,103.6,197.3,203.3,6.6,False,0.87,False,False,True,0.25,ok,
3782,466526396,46929,1.428365,1.428287,1571.72652,9.0,9.5,35.6,32.3,2.4,False,1.06,False,False,True,0.25,ok,
3783,466539668,45207,0.478365,0.47865,1571.38415,4.6,8.0,17.4,18.5,0.6,False,1.75,False,False,True,0.6,stale,
3818,468246097,41801,0.842135,0.843234,1571.27825,4.9,10.2,20.7,38.9,12.8,True,2.09,False,False,True,1.05,half_period,
3802,467451300,41769,1.25892,1.258817,1572.12055,10.6,25.8,37.2,43.5,4.0,False,2.44,False,False,True,0.6,stale,
3803,467461269,41757,15.573497,15.571371,1573.99364,4.0,13.7,15.0,17.7,1.9,False,3.39,False,False,True,0.6,stale,
3804,467518208,33926,2.631143,2.655412,1572.86866,3.2,2.8,4.2,1.6,1.7,False,0.88,True,False,True,0.55,weak,
3805,467526565,33939,2.338414,2.343396,1572.25748,2.5,7.6,16.8,9.7,4.7,False,3.0,False,False,True,0.6,stale,
3795,467096183,41685,1.361004,1.363449,1571.87795,4.7,5.8,5.1,6.2,0.7,False,1.23,False,False,True,0.45,ok,
3797,467273161,41762,2.21517,2.21268,1571.95067,3.1,5.5,7.2,6.6,0.3,False,1.76,False,False,True,0.6,stale,
3800,467316701,33928,5.768757,5.750465,1572.42176,4.0,25.1,47.0,30.0,13.9,True,6.3,False,False,True,1.05,half_period,
3801,467397106,45174,0.974893,0.97613,1572.12794,5.6,6.1,10.9,10.3,0.4,False,1.08,False,False,True,0.25,ok,
3806,467623724,45186,2.224893,2.224556,1571.47019,4.4,15.6,17.6,17.9,1.0,False,3.57,False,False,True,0.6,stale,
3807,467625517,45180,3.438896,3.437705,1572.7725,3.0,50.6,65.5,61.7,4.0,False,16.81,False,False,True,0.6,stale,
3808,467637858,41744,0.771301,0.770832,1571.3077,6.8,35.2,37.8,50.3,8.4,True,5.2,False,False,True,1.05,half_period,
