TIC,Per,e_Per,BJD0,Morph
0141268467,4.1810902,4.0207231e-06,1324.368845,0.337
0382188882,4.8000945,3.6735579e-06,1574.965348,0.161
0089787778,1.0826341,1.1885637e-05,1517.429196,0.662
0358111274,43.8434276,0.00012181098,1633.293966,0.01
0248074315,15.7235135,0.00024841666,1580.914252,0.103
0178889597,1.884499,1.6866761e-05,1572.589269,0.515
0162585282,0.512331,3.2614937e-06,1571.077597,0.594
0438942374,1.709134,2.9533353e-06,1546.322445,0.489
0467238286,3.4143331,5.7439016e-05,1571.290275,0.608
0333127661,7.8942715,0.00053990933,1576.271647,0.29
0281924357,15.0403573,0.0022022203,1584.453903,0.044
0142148228,1.5612094,1.7431649e-05,1325.319553,0.46
0356524567,1.153964,8.1688873e-05,1545.291799,0.531
0405177882,13.7148969,0.00093723612,1574.337628,0.132
0364392434,1.721769,3.7243107e-06,1571.302665,0.777
0286191384,3.6118208,0.00029587418,1569.363122,0.449
0350443417,1.2167214,1.0167152e-08,1325.491514,0.514
0458199516,3.0172063,0.00072555394,1572.737129,0.429
0178723395,1.7615731,3.7158806e-07,1545.491532,0.385
0077557473,0.5815637,1.0745064e-05,1571.61955,0.513
0322078735,0.7316135,1.0034389e-05,1570.186997,0.653
0349156098,1.2014857,2.3122522e-06,1597.029858,0.551
0022481474,0.4403005,2.5187399e-07,1571.009183,0.433
0403757320,1.0025046,9.2649275e-05,1570.23958,0.263
0364395234,1.3757531,2.9830655e-06,1545.336198,0.505
0099028324,9.40434,0.0003398681,1567.485254,0.256
0001630438,0.3905231,1.0653831e-06,1571.250526,0.989
0058466459,3.8716104,6.3022101e-05,1571.630294,0.294
0167694820,0.5221897,1.3351745e-07,1598.273454,0.707
0391550834,3.6056426,0.0039567152,1569.756783,0.34
0397361078,2.2077215,1.2535359e-05,1572.046783,0.759
0219373406,0.8618965,5.3260828e-08,1386.632257,0.601
0023559851,0.3248137,1.5634006e-05,1544.627042,0.611
0271999940,0.5642229,4.8156872e-07,1544.936334,0.713
0279323859,1.0799812,4.3537042e-07,1544.899636,0.572
0038423705,0.5336538,2.4104476e-06,1570.647352,0.809
0158450472,1.3530058,1.3622255e-06,1544.804371,0.566
0443494351,0.5158002,1.3725578e-05,1544.770455,0.723
0384031569,20.8219638,3.4593665e-05,1524.706628,0.135
0376915487,2.5395591,0.00032745287,1570.695474,0.55
0269347089,8.2596821,0.010115864,1574.944562,0.496
0102169275,13.099714,1.0112755e-05,1571.750903,0.196
0374859582,1.3049652,8.6281336e-07,1571.708826,0.559
0152147549,0.2294902,3.5609514e-07,1570.81046,0.746
0167554898,4.4537006,1.503324e-06,1413.027802,0.367
0349480752,77.7343273,0.00023513285,1417.420985,0.145
0349762699,31.3956354,0.0029185499,1560.881353,0.106
0032150630,1.4920361,5.2837185e-06,1598.762998,0.349
0099028319,9.4045943,0.00044942811,1576.890304,0.263
0181862539,3.1445398,2.6252333e-05,1572.320522,0.564
0452575636,2.0422585,5.2734571e-05,1569.013432,0.425
