tid,toi,pl_orbper,pl_tranmid,tfopwg_disp
240613164,1377.01,1.99143,2458712.05324,FP
249812036,1378.01,5.7785318,2460561.395306,FP
252490659,1379.01,1132.0244686,2459871.438619,APC
277683130,138.01,6.1982658,2460175.14238,APC
274170255,1380.01,1.41072,2458712.04951,FP
275722992,1381.01,6.5601782,2460552.174345,PC
276360911,1382.01,0.44482,2458738.89623,FA
313506357,1383.01,1.532703,2459880.029372,FP
328167090,1384.01,0.7131492,2459880.756663,FP
329864959,1385.01,4.52318,2458739.96744,FP
343019899,1386.01,25.8386422,2460561.017924,CP
343442463,1387.01,0.78381,2458739.5222,FP
346338552,1388.01,4.4652986,2460606.436882,KP
353038705,1389.01,3.062624,2459851.063533,PC
62483237,139.01,11.0708575,2458334.891563,CP
365389353,1390.01,2.6380089,2460605.160178,FP
389182138,1391.01,2.7260173,2460610.162144,FP
416987878,1392.01,2.86876,2458712.7665,FP
430528566,1393.01,0.5590256,2460405.442909,FP
431156009,1394.01,2.958148,2460403.663304,FP
468472950,1395.01,0.98736,2458712.35831,FP
468845640,1396.01,3.99307,2458741.72914,FP
64553698,1397.01,8.6795072,2458965.050909,FP
66445643,1398.01,6.5560604,2460420.937502,APC
66783360,1399.01,1.3812787,2459881.30632,FP
140068425,140.01,2.2813432,2458327.399828,APC
258801269,1400.01,5.48923,2458689.02568,FP
259126549,1401.01,7.3845072,2459658.948928,FP
259129875,1402.01,0.43889,2458684.09715,FP
259172391,1445.02,4.7842093,2459740.829189,PC
294471966,1446.01,6.3170657,2458689.364498,PC
294471966,1446.02,4.5057387,2458685.433408,PC
298073824,1447.01,1.2273079,2458684.362799,FA
343628284,1448.01,8.0970819,2459857.185608,CP
356158613,1449.01,,2458713.009359,FA
356158613,1449.02,2.3691849,2458683.580594,PC
265612438,145.01,5.13002,2459060.6424,PC
377293776,1450.01,2.0439268,2459662.335574,CP
417931607,1451.01,16.5379864,2460348.107581,CP
420112589,1452.01,11.0619937,2459731.359311,CP
198390247,1453.01,6.5886877,2460660.40937,CP
198390247,1453.02,4.3135263,2460583.434908,CP
294179385,1454.01,2.6794168,2459422.312812,PC
387259626,1455.01,3.6231364,2460656.395911,APC
199376584,1456.01,18.712253,2460544.753267,CP
176860064,1457.01,6.3768174,2460602.885963,APC
164173105,1417.01,3.0726434,2459827.0017,CP
224600500,1418.01,0.6763235,2458684.277966,FA
311035838,1419.01,2.8997405,2459661.5681,KP
425934411,142.01,0.8533534,2458325.485901,PC
321857016,1420.01,6.9561134,2459830.458192,CP
329277372,1421.01,2.8879675,2459854.509943,FP
333473672,1422.01,13.001789,2459864.063759,CP
346418409,1423.01,2.7556532,2458740.961818,FP
418959198,1424.01,4.8962484,2459827.504099,FP
350132371,1425.01,1.0318213,2460448.86278,APC
128501004,1426.01,0.78999,2458739.0012,FP
2041563029,1427.01,12.80758,2458747.00971,FP
377304435,1428.01,11.35626,2458691.56061,FP
138968089,1429.01,0.6412558,2458711.558151,FP
25375553,143.01,2.3109689,2460155.87081,KP
293954617,1430.01,7.4341456,2460549.311109,CP
375506058,1431.01,2.650232,2460554.58625,CP
256783784,1432.01,6.1095756,2459851.690817,PC
13684720,1433.01,12.4379715,2458695.011233,APC
138588540,1434.01,29.871853,2458703.408327,PC
153976959,1435.01,0.6858178,2458683.431524,PC
154383539,1436.01,0.8675883,2459690.565813,PC
198356533,1437.01,18.840891,2460660.183368,CP
229650439,1438.01,5.1396666,2460641.839847,CP
229650439,1438.02,9.4280902,2460632.101735,CP
232982558,1439.01,27.6438617,2460638.545561,CP
261136679,144.01,6.267832,2460011.550653,CP
233617847,1440.01,15.5174519,2459956.401035,PC
233617847,1440.02,4.6274206,2459656.057163,PC
233951353,1441.01,22.092974,2460418.661942,PC
235683377,1442.01,0.4090681,2459768.708421,CP
237232044,1443.01,23.5407467,2460623.584541,CP
258514800,1444.01,0.4702719,2458711.369295,CP
259172391,1445.01,9.8130697,2459767.018169,PC
191284318,1458.01,2.7759678,2460610.063622,KP
16920150,1459.01,9.155934,2458765.545981,FA
355636844,146.01,6.30556,2459080.90325,FP
17005768,1460.01,6.8424983,2458765.265116,FP
44631965,1461.01,3.5686777,2458767.317052,APC
188768068,1462.01,2.1779407,2460338.523071,CP
190998418,1463.01,2.8791023,2459856.144266,KP
229944666,1464.01,11.3125266,2459643.724417,PC
236887394,1465.01,1.4200248,2459717.423096,KP
237086564,1466.01,1.8718991,2459823.877249,PC
240968774,1467.01,5.9711357,2458766.989118,CP
243185500,1468.01,15.5324385,2459450.356025,CP
243185500,1468.02,1.880531,2459448.308156,CP
283722336,1469.01,3.0929386,2460606.251961,KP
